Year,League,FranchiseID,name,Division,W,L,DivWin,WCWin,LgWin,WSWin,R,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,Playoffs,Win %
1995,NL,ATL,Atlanta Braves,E,90,54,Y,N,Y,Y,645,1202,210,27,168,520.0,933.0,73.0,43.0,40.0,34.0,540,3.44,18,11,34,1184,107,436,1087,100,113,0.982,1,0.625
1995,AL,BAL,Baltimore Orioles,E,71,73,N,N,N,N,704,1267,229,27,173,574.0,803.0,92.0,45.0,39.0,41.0,640,4.31,19,10,29,1165,149,523,930,72,141,0.986,0,0.493
1995,AL,BOS,Boston Red Sox,E,86,58,Y,N,N,N,791,1399,286,31,175,560.0,923.0,99.0,44.0,65.0,49.0,698,4.39,7,9,39,1338,127,476,888,120,151,0.978,1,0.597
1995,AL,ANA,California Angels,W,78,67,N,N,N,N,801,1390,252,25,186,564.0,889.0,58.0,39.0,36.0,38.0,697,4.52,8,9,42,1310,163,486,901,95,120,0.982,0,0.538
1995,AL,CHW,Chicago White Sox,C,68,76,N,N,N,N,755,1417,252,37,146,576.0,767.0,110.0,39.0,32.0,56.0,758,4.85,12,4,36,1374,164,617,892,108,131,0.98,0,0.472
1995,NL,CHC,Chicago Cubs,C,73,71,N,N,N,N,693,1315,267,39,158,440.0,953.0,105.0,37.0,34.0,35.0,671,4.13,6,12,45,1313,162,518,926,115,115,0.979,0,0.507
1995,NL,CIN,Cincinnati Reds,C,85,59,Y,N,N,N,747,1326,277,35,161,519.0,946.0,190.0,68.0,40.0,50.0,623,4.03,8,10,38,1270,131,424,903,79,140,0.986,1,0.59
1995,AL,CLE,Cleveland Indians,C,100,44,Y,N,Y,N,840,1461,279,23,207,542.0,766.0,132.0,53.0,35.0,48.0,607,3.83,10,10,50,1261,135,445,926,101,142,0.982,1,0.694
1995,NL,COL,Colorado Rockies,W,77,67,N,Y,N,N,785,1406,259,43,200,484.0,943.0,125.0,59.0,56.0,31.0,783,4.97,1,1,43,1443,160,512,891,107,146,0.981,1,0.535
1995,AL,DET,Detroit Tigers,E,60,84,N,N,N,N,654,1204,228,29,159,551.0,987.0,73.0,36.0,41.0,43.0,844,5.49,5,3,38,1509,170,536,729,106,143,0.981,0,0.417
1995,NL,FLA,Florida Marlins,E,67,76,N,N,N,N,673,1278,214,29,144,517.0,916.0,131.0,53.0,49.0,48.0,673,4.27,12,7,29,1299,139,562,994,115,143,0.979,0,0.469
1995,NL,HOU,Houston Astros,C,76,68,N,N,N,N,747,1403,260,22,109,566.0,992.0,176.0,60.0,69.0,47.0,674,4.06,6,8,32,1357,118,460,1056,121,120,0.979,0,0.528
1995,AL,KCR,Kansas City Royals,C,70,74,N,N,N,N,629,1275,240,35,119,475.0,849.0,120.0,53.0,43.0,39.0,691,4.49,11,10,37,1323,142,503,763,90,168,0.984,0,0.486
1995,NL,LAD,Los Angeles Dodgers,W,78,66,Y,N,N,N,634,1303,191,31,140,468.0,1023.0,127.0,45.0,30.0,35.0,609,3.66,16,11,37,1188,125,462,1060,130,120,0.976,1,0.542
1995,AL,MIN,Minnesota Twins,C,56,88,N,N,N,N,703,1398,270,34,120,471.0,916.0,105.0,57.0,58.0,36.0,889,5.76,7,2,27,1450,210,533,790,100,141,0.981,0,0.389
1995,AL,MIL,Milwaukee Brewers,C,65,79,N,N,N,N,740,1329,249,42,128,502.0,800.0,105.0,40.0,46.0,42.0,747,4.82,7,4,31,1391,146,603,699,105,186,0.981,0,0.451
1995,NL,WSN,Montreal Expos,E,66,78,N,N,N,N,621,1268,265,24,118,400.0,901.0,120.0,49.0,56.0,32.0,638,4.11,7,9,42,1286,128,416,950,109,119,0.98,0,0.458
1995,AL,NYY,New York Yankees,E,79,65,N,Y,N,N,749,1365,280,34,122,625.0,851.0,50.0,30.0,39.0,68.0,688,4.56,18,5,35,1286,159,535,908,74,121,0.986,1,0.549
1995,NL,NYM,New York Mets,E,69,75,N,N,N,N,657,1323,218,34,125,446.0,994.0,58.0,39.0,42.0,43.0,618,3.88,9,9,36,1296,133,401,901,115,125,0.979,0,0.479
1995,AL,OAK,Oakland Athletics,W,67,77,N,N,N,N,730,1296,228,18,169,565.0,911.0,112.0,46.0,45.0,58.0,761,4.93,8,4,34,1320,153,556,890,102,151,0.981,0,0.465
1995,NL,PHI,Philadelphia Phillies,E,69,75,N,N,N,N,615,1296,263,30,94,497.0,884.0,72.0,25.0,46.0,41.0,658,4.21,8,8,41,1241,134,538,980,97,139,0.982,0,0.479
1995,NL,PIT,Pittsburgh Pirates,C,58,86,N,N,N,N,629,1281,245,27,125,456.0,972.0,84.0,55.0,24.0,33.0,736,4.7,11,7,29,1407,130,477,871,122,138,0.978,0,0.403
1995,NL,SDP,San Diego Padres,W,70,74,N,N,N,N,668,1345,231,20,116,447.0,872.0,124.0,46.0,35.0,38.0,672,4.13,6,10,35,1242,142,512,1047,108,130,0.98,0,0.486
1995,AL,SEA,Seattle Mariners,W,79,66,Y,N,N,N,796,1377,276,20,182,549.0,871.0,110.0,41.0,39.0,34.0,708,4.5,9,8,39,1343,149,591,1068,104,108,0.98,1,0.545
1995,NL,SFG,San Francisco Giants,W,67,77,N,N,N,N,652,1256,229,33,152,472.0,1060.0,138.0,46.0,57.0,24.0,776,4.86,12,5,34,1368,173,505,801,108,142,0.98,0,0.465
1995,NL,STL,St. Louis Cardinals,C,62,81,N,N,N,N,563,1182,238,24,107,436.0,920.0,79.0,46.0,46.0,40.0,658,4.09,4,6,38,1290,135,445,842,113,156,0.98,0,0.434
1995,AL,TEX,Texas Rangers,W,74,70,N,N,N,N,691,1304,247,24,138,526.0,877.0,90.0,47.0,33.0,45.0,720,4.66,14,4,34,1385,152,514,838,98,156,0.982,0,0.514
1995,AL,TOR,Toronto Blue Jays,E,56,88,N,N,N,N,642,1309,275,27,140,492.0,906.0,75.0,16.0,44.0,45.0,777,4.88,16,8,22,1336,145,654,894,97,131,0.982,0,0.389
1996,NL,ATL,Atlanta Braves,E,96,66,Y,N,Y,N,773,1514,264,28,197,530.0,1032.0,83.0,43.0,27.0,50.0,648,3.52,14,9,46,1372,120,451,1245,130,143,0.98,1,0.593
1996,AL,BAL,Baltimore Orioles,E,88,74,N,Y,N,N,949,1557,299,29,257,645.0,915.0,76.0,40.0,61.0,67.0,903,5.14,13,1,44,1604,209,597,1047,97,173,0.984,1,0.543
1996,AL,BOS,Boston Red Sox,E,85,77,N,N,N,N,928,1631,308,31,209,642.0,1020.0,91.0,44.0,67.0,47.0,921,4.98,17,5,37,1606,185,722,1165,135,152,0.978,0,0.525
1996,AL,ANA,California Angels,W,70,91,N,N,N,N,762,1571,256,24,192,527.0,974.0,53.0,39.0,29.0,33.0,943,5.3,12,8,38,1546,219,662,1052,128,156,0.979,0,0.435
1996,AL,CHW,Chicago White Sox,C,85,77,N,N,N,N,898,1586,284,33,195,701.0,927.0,105.0,41.0,34.0,62.0,794,4.52,7,4,43,1529,174,616,1039,109,145,0.982,0,0.525
